Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
10001,40.7298253,-73.960752,318,29.17,68.0,63.5,18.5,62.9,6.2,25.2,31.4,88526.0,151628.0,13.3,4.5
10002,40.7223135,-73.9877089,924,38.48,34.0,36.8,24.9,32.2,8.4,41.5,49.9,35859.0,68315.0,27.7,7.0
10003,40.7316034,-73.9884878,413,27.46,80.2,84.2,15.1,75.9,5.8,13.5,19.3,112131.0,189885.0,8.5,5.7
10004,40.7007405,-74.0134668,28,27.72,90.4,25.1,12.4,62.8,1.7,30.4,32.1,157645.0,218650.0,2.2,4.5
10005,40.7056362,-74.0089003,54,21.6,88.4,52.2,1.3,73.4,2.5,17.0,19.5,173333.0,208186.0,9.5,3.1
10006,40.7068238,-74.0137399,23,21.7,92.8,50.8,1.2,69.8,1.0,19.9,20.9,176250.0,214543.0,4.7,0.6
10007,40.7140415,-74.0082208,48,20.17,80.0,16.6,7.3,77.2,4.7,11.8,16.5,246813.0,367343.0,2.3,2.8
10009,40.7251203,-73.9763211,631,30.6,59.5,49.9,18.4,61.8,9.4,13.0,22.4,61548.0,95947.0,23.4,4.0
10010,40.7392225,-73.97336,241,21.2,78.4,61.3,16.1,73.2,5.3,17.4,22.7,117923.0,188064.0,12.7,4.0
10011,40.7511804,-73.9986174,476,30.47,78.8,47.8,20.3,79.9,5.6,9.2,14.8,128613.0,207287.0,11.1,3.7
10012,40.7250885,-73.9980859,150,26.41,80.5,72.9,17.1,74.4,2.8,17.3,20.1,109037.0,169859.0,11.6,3.4
10013,40.723075,-74.0093588,229,27.43,61.6,34.6,18.3,55.6,4.4,33.3,37.7,105442.0,259828.0,11.5,3.5
10014,40.7283335,-74.0025124,275,30.32,84.5,44.1,18.2,88.9,1.1,5.7,6.8,126601.0,203853.0,6.4,5.2
10016,40.7416812,-73.9779758,622,26.3,80.5,65.5,16.9,71.9,3.8,19.3,23.1,117004.0,166745.0,9.7,3.7
